ticker,start_date,end_date,period_months,cumulative_return,sp500_return,abnormal_return,sue,surprise,reported_eps,eps_estimate
AMC,2/26/25,3/26/25,1,-0.059,-0.0252,-0.0338,-0.9667,-0.17,-0.35,-0.18
AMC,2/26/25,4/26/25,2,-0.1366,-0.0383,-0.0984,-0.9667,-0.17,-0.35,-0.18
AMC,2/26/25,5/26/25,3,-0.1366,-0.0383,-0.0984,-0.9667,-0.17,-0.35,-0.18
AMC,11/7/24,12/7/24,1,0.1077,0.0161,0.0916,-0.2275,-0.04,-0.15,-0.11
AMC,11/7/24,1/7/25,2,-0.0468,-0.0127,-0.0342,-0.2275,-0.04,-0.15,-0.11
AMC,11/7/24,2/7/25,3,-0.274,0.0077,-0.2817,-0.2275,-0.04,-0.15,-0.11
AMC,8/3/24,9/3/24,1,-0.0646,0.0671,-0.1317,1.8765,0.33,-0.1,-0.43
AMC,8/3/24,10/3/24,2,-0.1051,0.1009,-0.2059,1.8765,0.33,-0.1,-0.43
AMC,8/3/24,11/3/24,3,-0.0889,0.1071,-0.196,1.8765,0.33,-0.1,-0.43
AMC,5/9/24,6/9/24,1,0.6873,0.0253,0.662,0.1706,0.03,-0.76,-0.79
AMC,5/9/24,7/9/24,2,0.8763,0.0706,0.8057,0.1706,0.03,-0.76,-0.79
AMC,5/9/24,8/9/24,3,0.7182,0.0266,0.6916,0.1706,0.03,-0.76,-0.79
AMC,2/29/24,3/29/24,1,-0.1468,0.0231,-0.1699,-0.7392,-0.13,-0.83,-0.7
AMC,2/29/24,4/29/24,2,-0.305,-0.0024,-0.3027,-0.7392,-0.13,-0.83,-0.7
AMC,2/29/24,5/29/24,3,0.0321,0.029,0.0031,-0.7392,-0.13,-0.83,-0.7
AMC,11/9/23,12/9/23,1,-0.1348,0.0445,-0.1793,1.5353,0.27,0.08,-0.19
AMC,11/9/23,1/9/24,2,-0.3708,0.0799,-0.4507,1.5353,0.27,0.08,-0.19
AMC,11/9/23,2/9/24,3,-0.4532,0.1421,-0.5953,1.5353,0.27,0.08,-0.19
AMC,8/9/23,9/9/23,1,-0.8558,-0.0009,-0.8549,0.2843,0.05,0.01,-0.04
AMC,8/9/23,10/9/23,2,-0.8028,-0.0271,-0.7757,0.2843,0.05,0.01,-0.04
AMC,8/9/23,11/9/23,3,-0.8251,-0.0236,-0.8015,0.2843,0.05,0.01,-0.04
AMC,5/6/23,6/6/23,1,-0.2136,0.037,-0.2506,0.398,0.07,-0.09,-0.16
AMC,5/6/23,7/6/23,2,-0.2729,0.0692,-0.3421,0.398,0.07,-0.09,-0.16
AMC,5/6/23,8/6/23,3,-0.1644,0.0866,-0.251,0.398,0.07,-0.09,-0.16
GME,3/26/25,4/26/25,1,0.0235,-0.0108,0.0343,2.017,0.22,0.3,0.08
GME,3/26/25,5/26/25,2,0.0235,-0.0108,0.0343,2.017,0.22,0.3,0.08
GME,3/26/25,6/26/25,3,0.0235,-0.0108,0.0343,2.017,0.22,0.3,0.08
GME,12/11/24,1/11/25,1,0.1238,-0.0362,0.16,1.1002,0.12,0.06,-0.06
GME,12/11/24,2/11/25,2,-0.0762,0.005,-0.0812,1.1002,0.12,0.06,-0.06
GME,12/11/24,3/11/25,3,-0.2136,-0.077,-0.1366,1.1002,0.12,0.06,-0.06
GME,9/11/24,10/11/24,1,0.0211,0.0398,-0.0188,0.8251,0.09,0.01,-0.08
GME,9/11/24,11/11/24,2,0.3363,0.0742,0.262,0.8251,0.09,0.01,-0.08
GME,9/11/24,12/11/24,3,0.4201,0.0898,0.3302,0.8251,0.09,0.01,-0.08
GME,6/8/24,7/8/24,1,-0.0153,0.04,-0.0553,-0.275,-0.03,-0.12,-0.09
GME,6/8/24,8/8/24,2,-0.124,-0.0062,-0.1179,-0.275,-0.03,-0.12,-0.09
GME,6/8/24,9/8/24,3,-0.0366,0.012,-0.0487,-0.275,-0.03,-0.12,-0.09
GME,3/27/24,4/27/24,1,-0.0495,-0.0283,-0.0212,-0.7335,-0.08,0.22,0.3
GME,3/27/24,5/27/24,2,0.5176,0.0122,0.5054,-0.7335,-0.08,0.22,0.3
GME,3/27/24,6/27/24,3,1.004,0.0479,0.9561,-0.7335,-0.08,0.22,0.3
GME,9/7/23,10/7/23,1,-0.1485,-0.0325,-0.116,1.0085,0.11,-0.03,-0.14
GME,9/7/23,11/7/23,2,-0.2298,-0.0158,-0.214,1.0085,0.11,-0.03,-0.14
GME,9/7/23,12/7/23,3,-0.0762,0.0322,-0.1084,1.0085,0.11,-0.03,-0.14
BB,12/20/24,1/20/25,1,0.0528,0.0049,0.0479,0.8949,0.03,0.02,-0.01
BB,12/20/24,2/20/25,2,0.4723,0.0264,0.4459,0.8949,0.03,0.02,-0.01
BB,12/20/24,3/20/25,3,0.1662,-0.0491,0.2153,0.8949,0.03,0.02,-0.01
BB,6/27/24,7/27/24,1,0,0.0004,-0.0004,0.2983,0.01,-0.03,-0.04
BB,6/27/24,8/27/24,2,-0.0645,0.0319,-0.0964,0.2983,0.01,-0.03,-0.04
BB,6/27/24,9/27/24,3,0.0161,0.0533,-0.0372,0.2983,0.01,-0.03,-0.04
BB,4/4/24,5/4/24,1,0.039,-0.0138,0.0528,1.7898,0.06,0.03,-0.03
